Product;Brands;Sub-Brands;Objective;Month;Platform;Tier;KOL Name;Category;Link Post;;;Followers Number;Actual Spends (IDR);Reach;Views;Likes;Comments;Share;ER;ER Views (%);VR (%);CPV (Rp)
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Rifa Salma Kamila;Lifestyle;https://www.tiktok.com/@222rifaa/video/7614165698612333832?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;11441;950000;253;337;30;2;2;0,30%;10,09%;2,95%;2818,991098
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Fadly Hidayat;Lifestyle;https://www.tiktok.com/@hidayatfd/video/7613193599710268692?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;18893;950000;1700;2109;151;0;1;0,80%;7,21%;11,16%;450,4504505
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Carine Nadiav;Lifestyle;https://www.tiktok.com/@carpybaraz/video/7613760516732751125?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;72073;950000;424;514;39;2;2;0,06%;8,37%;0,71%;1848,249027
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Nurita ef;Lifestyle;https://www.tiktok.com/@nuritarara/video/7613145126793219335?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;11790;950000;167;491;17;3;2;0,19%;4,48%;4,16%;1934,826884
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Rafa Ersa;Lifestyle;https://www.tiktok.com/@erswaldorf/video/7613639429881597202?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;22278;950000;426;1065;206;1;14;0,99%;20,75%;4,78%;892,0187793
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Aji Dwi Prasetyo;Lifestyle;https://www.tiktok.com/@adwi.pr/video/7614407636523568392?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;11731;950000;545;630;16;1;4;0,18%;3,33%;5,37%;1507,936508
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Agung Tommy;Lifestyle;https://www.tiktok.com/@fevereating/video/7614359896150035733?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;17760;950000;274;468;16;8;7;0,17%;6,62%;2,64%;2029,91453
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Nurman Sidik;Lifestyle;https://www.tiktok.com/@reviewbymanz/video/7613996394931571986?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;12326;950000;1500;1807;129;1;15;1,18%;8,02%;14,66%;525,7332595
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Nur Lina;Lifestyle;https://www.tiktok.com/@heiina1_/video/7614125832000359700?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;10153;950000;3700;5592;268;29;23;3,15%;5,72%;55,08%;169,8855508
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Ficky Taufik Hidayat;Lifestyle;https://www.tiktok.com/@kamilahfickychannel/video/7614785343472094472?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;29999;950000;9700;12622;527;12;4;1,81%;4,30%;42,07%;75,2654096
